run_id,binary_sha256,variant,backend,access,workload,parallelism,lanes,records,seed,repeat,warmup_requested,seconds_requested,valid,exit_code,error,setup_seconds,warmup_ops,operations,seconds,ops_per_second,p50_ns,p99_ns,errors,handoffs,rocksdb_granted,rocksdb_diverted,peak_rss_bytes,peak_threads_sampled,cpu_user_seconds,cpu_system_seconds,wall_seconds
tokio-memory-sdk-range-p4-c4-r2-n100000-w3-s10-seed20260917,1dda62a344f62068f971e26a499036cbea8a1e7b9a6f36e55d594ec5e894e476,tokio,memory,sdk,range,4,4,100000,20260917,2,3,10,True,0,,2.3159273750000002,101423,342456,10.000142208,34245.11300709695,107967,196863,0,0,0,0,446709760,16,53.550223,0.552765,15.339371458000187
goexec-memory-sdk-range-p4-c4-r2-n100000-w3-s10-seed20260917,7eed995be3eb2ed6eca0fb46f5bf4bab99ad8e508d72b025da681db2f7daebc0,goexec,memory,sdk,range,4,4,100000,20260917,2,3,10,True,0,,2.215621333,94633,322871,10.000052208,32286.931436388357,114239,206975,0,0,0,0,446873600,19,53.462523,1.4849649999999999,15.255775207999704
goexec-rocksdb-sdk-update-p4-c16-r2-n100000-w3-s10-seed20260917,7eed995be3eb2ed6eca0fb46f5bf4bab99ad8e508d72b025da681db2f7daebc0,goexec,rocksdb,sdk,update,4,16,100000,20260917,2,3,10,True,0,,1.3611475419999999,160473,521877,10.000217292,52186.56602766947,173183,470271,0,0,2237285,372125,2008891392,56,33.685774,8.824888,14.753402542000003
goexec-blocking-rocksdb-sdk-update-p4-c16-r2-n100000-w3-s10-seed20260917,e963d801d8310f2cb89458be25ab0c11ddbbeddc08501d21e1d74f2cc4e7ef50,goexec-blocking,rocksdb,sdk,update,4,16,100000,20260917,2,3,10,True,0,,1.340310916,176997,561183,10.0002625,56116.826933293,164607,519423,0,68,2805940,0,2104229888,65,35.204013,6.915534,14.557502167000166
tokio-rocksdb-sdk-update-p4-c16-r2-n100000-w3-s10-seed20260917,1dda62a344f62068f971e26a499036cbea8a1e7b9a6f36e55d594ec5e894e476,tokio,rocksdb,sdk,update,4,16,100000,20260917,2,3,10,True,0,,1.426929833,99147,428513,10.00019525,42850.46334470319,181503,448511,0,0,1838284,304306,1616642048,53,26.661262,6.375508,15.039184957999623
tokio-memory-sdk-range-p4-c16-r3-n100000-w3-s10-seed20260917,1dda62a344f62068f971e26a499036cbea8a1e7b9a6f36e55d594ec5e894e476,tokio,memory,sdk,range,4,16,100000,20260917,3,3,10,True,0,,2.321494417,101473,355013,10.000490417,35499.559041275366,459007,911871,0,0,0,0,447643648,16,53.580518,0.555207,15.36095533400021
goexec-memory-sdk-range-p4-c16-r3-n100000-w3-s10-seed20260917,7eed995be3eb2ed6eca0fb46f5bf4bab99ad8e508d72b025da681db2f7daebc0,goexec,memory,sdk,range,4,16,100000,20260917,3,3,10,True,0,,2.227785542,97507,328879,10.000389833,32886.61797110565,271359,2207743,0,0,0,0,448151552,19,53.639068,0.7827999999999999,15.25772466699982
goexec-rocksdb-sdk-range-p16-c64-r0-n100000-w3-s10-seed20260917,7eed995be3eb2ed6eca0fb46f5bf4bab99ad8e508d72b025da681db2f7daebc0,goexec,rocksdb,sdk,range,16,64,100000,20260917,0,3,10,True,0,,1.371426542,202426,675732,10.001548041,67562.74101068432,503295,4710399,0,0,5405866,15,290422784,90,201.529195,5.629497,14.445285084000261
tokio-rocksdb-sdk-range-p16-c64-r0-n100000-w3-s10-seed20260917,1dda62a344f62068f971e26a499036cbea8a1e7b9a6f36e55d594ec5e894e476,tokio,rocksdb,sdk,range,16,64,100000,20260917,0,3,10,True,0,,1.410570709,234170,799185,10.001219833,79908.75246667523,795135,1691647,0,0,6393495,10,288751616,87,198.839196,6.496059,14.471696749999865
goexec-blocking-rocksdb-sdk-range-p16-c64-r0-n100000-w3-s10-seed20260917,e963d801d8310f2cb89458be25ab0c11ddbbeddc08501d21e1d74f2cc4e7ef50,goexec-blocking,rocksdb,sdk,range,16,64,100000,20260917,0,3,10,True,0,,1.374654875,214985,745321,10.00162825,74519.9662864894,468479,4046847,0,21,5962593,0,290340864,91,205.026528,2.971749,14.437049916999968
tokio-memory-sdk-update-p16-c64-r4-n100000-w3-s10-seed20260917,1dda62a344f62068f971e26a499036cbea8a1e7b9a6f36e55d594ec5e894e476,tokio,memory,sdk,update,16,64,100000,20260917,4,3,10,True,0,,2.404100625,835864,2788769,10.000693291,278857.56705584785,200063,673279,0,0,0,0,11379130368,52,202.558192,6.688883,15.577733958999943
goexec-memory-sdk-update-p16-c64-r4-n100000-w3-s10-seed20260917,7eed995be3eb2ed6eca0fb46f5bf4bab99ad8e508d72b025da681db2f7daebc0,goexec,memory,sdk,update,16,64,100000,20260917,4,3,10,True,0,,2.2969830829999998,822832,2751577,10.0007895,275135.97801453574,175103,870911,0,0,0,0,11219386368,55,203.244664,7.05004,15.424654416000067
goexec-blocking-rocksdb-sdk-create-p1-c4-r2-n100000-w3-s10-seed20260917,e963d801d8310f2cb89458be25ab0c11ddbbeddc08501d21e1d74f2cc4e7ef50,goexec-blocking,rocksdb,sdk,create,1,4,100000,20260917,2,3,10,True,0,,1.376985417,123807,362109,10.000079292,36210.61287880836,92479,144511,0,14,2172676,0,932364288,53,14.881938,6.270455,14.857551583000259
tokio-rocksdb-sdk-create-p1-c4-r2-n100000-w3-s10-seed20260917,1dda62a344f62068f971e26a499036cbea8a1e7b9a6f36e55d594ec5e894e476,tokio,rocksdb,sdk,create,1,4,100000,20260917,2,3,10,True,0,,3.236465833,71641,232269,10.000072792,23226.730927980232,165375,237439,0,0,0,1393640,704954368,48,17.566583,11.001877,16.486677833000158
goexec-rocksdb-sdk-create-p1-c4-r2-n100000-w3-s10-seed20260917,7eed995be3eb2ed6eca0fb46f5bf4bab99ad8e508d72b025da681db2f7daebc0,goexec,rocksdb,sdk,create,1,4,100000,20260917,2,3,10,True,0,,2.991236458,74129,245447,10.000132833,24544.373969717246,159231,232575,0,0,0,1472703,716390400,51,18.19533,11.670855,16.370875416000217
tokio-rocksdb-sdk-mixed-p16-c16-r2-n100000-w3-s10-seed20260917,1dda62a344f62068f971e26a499036cbea8a1e7b9a6f36e55d594ec5e894e476,tokio,rocksdb,sdk,mixed,16,16,100000,20260917,2,3,10,True,0,,1.3902334170000001,464831,1438044,10.0002335,143801.04224566356,92927,235007,0,0,7190092,153,1443594240,88,132.552196,28.082194,14.49691299999995
goexec-blocking-rocksdb-sdk-mixed-p16-c16-r2-n100000-w3-s10-seed20260917,e963d801d8310f2cb89458be25ab0c11ddbbeddc08501d21e1d74f2cc4e7ef50,goexec-blocking,rocksdb,sdk,mixed,16,16,100000,20260917,2,3,10,True,0,,1.409652917,350679,1175145,10.000282666,117511.17835852581,113983,361727,0,1,5875750,0,1064108032,90,103.334118,42.431605,14.615757832999861
goexec-rocksdb-sdk-mixed-p16-c16-r2-n100000-w3-s10-seed20260917,7eed995be3eb2ed6eca0fb46f5bf4bab99ad8e508d72b025da681db2f7daebc0,goexec,rocksdb,sdk,mixed,16,16,100000,20260917,2,3,10,True,0,,1.352374,336320,1124190,10.000295583,112415.6771836891,122047,361471,0,0,5620903,66,1046446080,90,105.285225,48.05138,14.568141083999762
